model_name,doc_id,call_success,fail_reason,elapsed_sec,load_sec,eval_tps,vram_mib,prompt_tokens,completion_tokens,pydantic_valid,tool_needed,num_tool_calls,tool_call_logs,raw_response,type_group,category_score,tool_calls_score,tool_name_score,tool_args_ratio,is_uncertain_score,quality_score,score_breakdown
qwen2.5:7b,DOC-01,True,,8.3692,2.2033,57.24,4528.1,1566,314,True,False,0,,"{""summary_bullets"": [""임직원 본인 및 직계존비속의 경조 발생 시 경조금과 특별 휩가가 지급되며, 본인 결혼 시 100만 원의 경조금과 5일 유급휴가, 자녀 출산 시 50만 원과 100만 원의 축하금, 배우자 출산 휴가 10일이 제공된다."", ""근속 연수 1년 이상 임직원을 대상으로 매년 종합건강검진 비용을 전액 지원하며, 검진 대상자는 지정 검진 기관 중 원하는 곳을 선택해 예약할 수 있으며, 본인 외 직계가족 1인에 한해 동일한 할인 수가가 적용된다."", ""연간 120만 원 상당의 복지포인트(분기별 30만 원씩 자동 지급)가 부여되며, 이는 자기계발(도서 구매, 학원 수강), 운동, 문화생활 등에 사용할 수 있으며, 당해 연도 12월 15일까지 전액 사용해야 한다.""], ""categories"": [""복지""], ""is_uncertain"": false, ""tool_calls"": []}",NORMAL,0.6667,,,,1.0,0.8074,"{""summary_bullets"": {""raw"": 0.8013, ""weight"": 0.55, ""weighted"": 0.4407, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.3461, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.25, ""weighted"": 0.1667}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
qwen2.5:7b,DOC-02,True,,3.7722,0.008,50.86,4528.1,1295,167,True,False,0,,"{""summary_bullets"": [""모든 Python 프로젝트는 PEP8 규격 준수와 Ruff Linter 검사를 통과해야 하며, Linter 경고가 있는 PR은 승인이 불가합니다."", ""신규 기능에 대한 단위 테스트 작성과 전체 코드 커버리지 최소 80% 유지가 의무화되며, CI 실패 시 자동 배포 중단됩니다."", ""Git Branch는 feature/{issue-id} 형식을 따라야 하며, Commit Message는 Conventional Commits 규격을 준수해야 합니다.""], ""categories"": [""개발""], ""is_uncertain"": false, ""tool_calls"": []}",NORMAL,1.0,,,,1.0,0.8971,"{""summary_bullets"": {""raw"": 0.8129, ""weight"": 0.55, ""weighted"": 0.4471, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.4625, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.25, ""weighted"": 0.25}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
qwen2.5:7b,DOC-03,True,,5.4436,0.0102,50.69,4528.1,1417,249,True,False,0,,"{""summary_bullets"": [""10월부터 카페테리아 음료 주문은 사내 모바일 앱 스마트 오더를 통해 미리 주문 및 결제할 수 있으며, 피크 타임에는 모바일 결제 전용 픽업대가 운영됩니다."", ""구내식당의 점심 운영 시간이 11시 30분~13시 30분에서 11시~14시로 확대되며, 부서별 자율 시차 점심제를 활용해 분산 방문해 주시기 바랍니다."", ""텀블러나 다회용 컵을 가져오는 임직원은 카페 음료 500원 할인 혜택을 받을 수 있으며, 다 쓴 텀블러는 각 층 탕비실에 설치된 친환경 세척기를 이용해 세척할 수 있습니다.""], ""categories"": [""개발""], ""is_uncertain"": false, ""tool_calls"": []}",NORMAL,0.0,,,,1.0,0.7157,"{""summary_bullets"": {""raw"": 0.9376, ""weight"": 0.55, ""weighted"": 0.5157, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.3757, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.0, ""weight"": 0.25, ""weighted"": 0.0}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
qwen2.5:7b,DOC-04,True,,10.7298,0.0128,57.66,4528.1,3705,541,True,True,3,"send_slack_notification({""channel"": ""#sec-notice"", ""title"": ""2026년 3분기 계정 보안 강화 및 원격 근무 지침"", ""urgency"": ""HIGH""}) -> 슬랙 #sec-notice 채널로 '2026년 3분기 계정 보안 강화 및 원격 근무 지침'(HIGH) 알림 발송 완료 | create_jira_ticket({""project_key"": ""SEC"", ""issue_type"": ""Task"", ""summary"": ""2026년 3분기 계정 보안 강화 및 원격 근무 지침 이행 확인"", ""priority"": ""High""}) -> SEC 프로젝트에 '2026년 3분기 계정 보안 강화 및 원격 근무 지침 이행 확인' 티켓 생성 완료 (우선순위: High) | create_calendar_event({""title"": ""2026년 3분기 계정 보안 강화 및 원격 근무 지침 이행 확인"", ""start_time"": ""2026-10-15T00:00:00"", ""end_time"": ""2026-10-15T23:59:59""}) -> 일정 '2026년 3분기 계정 보안 강화 및 원격 근무 지침 이행 확인'이(가) 2026-10-15T00:00:00~2026-10-15T23:59:59에 성공적으로 등록되었습니다. (Event ID: #9999)","{""summary_bullets"": [""2026년 10월 15일까지 모든 임직원은 사내 통합 업무 시스템 접속 시 전용 보안 VPN 클라이언트를 활성화해야 합니다."", ""계정 로그인 시 기존 비밀번호 외에 SMS 또는 모바일 OTP 앱을 통한 2차 인증(MFA) 절차를 거쳐야 합니다."", ""보안성이 검증되지 않은 외부 Wi-Fi 환경에서의 사내 시스템 직결 접속은 금지됩니다.""], ""categories"": [""보안""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""channel"": ""#sec-notice"", ""title"": ""2026년 3분기 계정 보안 강화 및 원격 근무 지침"", ""urgency"": ""HIGH""}}, {""tool_name"": ""create_jira_ticket"", ""arguments"": {""project_key"": ""SEC"", ""issue_type"": ""Task"", ""summary"": ""2026년 3분기 계정 보안 강화 및 원격 근무 지침 이행 확인"", ""priority"": ""High""}}, {""tool_name"": ""create_calendar_event"", ""arguments"": {""title"": ""2026년 3분기 계정 보안 강화 및 원격 근무 지침 이행 확인"", ""start_time"": ""2026-10-15T00:00:00"", ""end_time"": ""2026-10-15T23:59:59""}}]}",TOOL_CALLING,1.0,0.8,0.5,1.0,1.0,0.847,"{""tool_calls"": {""raw"": 0.8, ""weight"": 0.5, ""weighted"": 0.4, ""tool_name_score"": 0.5, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.8232, ""weight"": 0.3, ""weighted"": 0.247, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.5657, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-05,True,,9.4813,0.0119,66.71,4528.1,3404,586,True,True,1,"create_jira_ticket({""summary"": ""2026-09-12 결제 인프라 DB 커넥션 풀 고갈 장애 후속 개발 작업"", ""priority"": ""High"", ""project_key"": ""INFRA"", ""issue_type"": ""Task""}) -> INFRA 프로젝트에 '2026-09-12 결제 인프라 DB 커넥션 풀 고갈 장애 후속 개발 작업' 티켓 생성 완료 (우선순위: High)","{""summary_bullets"": [""2026년 9월 12일 결제 API 서버의 응답 지연 및 HTTP 500 에러로 인해 약 35%의 결제 시도가 실패하였으며, 15시 05분 DB 커넥션 수동 재설정 및 서비스 재스타트 조치 후 정상화됨."", ""직접적인 원인은 프로모션 이벤트로 인한 정기 결제 트래픽 폭증 시, 특정 결제 내역 조회 API에서 인덱스가 타지 않는 비효율적 쿼리가 수천 건 동시 실행되면서 DB CPU 사용량이 99%까지 치솟아 신규 API 요청들이 DB 커넥션을 얻지 못해 Timeout 에러로 이어짐."", ""재발 방지를 위해 결제 조회 API의 DB 복합 인덱스 재설계 및 쿼리 최적화 작업을 즉시 진행하고, DB 커넥션 풀 사용률이 80% 초과 시 자동으로 Pod를 증설하는 Auto-scaling 정책 및 모니터링 임계치 알람 재설정 필요.""], ""categories"": [""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""create_jira_ticket"", ""arguments"": {""summary"": ""2026-09-12 결제 인프라 DB 커넥션 풀 고갈 장애 후속 개발 작업"", ""priority"": ""High"", ""project_key"": ""INFRA"", ""issue_type"": ""Task""}}]}",TOOL_CALLING,1.0,1.0,1.0,1.0,1.0,0.8993,"{""tool_calls"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5, ""tool_name_score"": 1.0, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.6645, ""weight"": 0.3, ""weighted"": 0.1993, ""keyword_match_recall"": 0.3333, ""rouge_1_2_mean"": 0.3112, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-06,True,,6.5853,0.0124,66.82,4528.1,3431,392,True,True,1,"create_calendar_event({""title"": ""2026년 3분기 전사 IT 인프라 정기 점검"", ""start_time"": ""2026-09-19T22:00:00"", ""end_time"": ""2026-09-20T04:00:00"", ""description"": ""2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 사내 메일, 그룹웨어(GW), ERP 시스템, Confluence, Jira 접속이 일시 중단됩니다.""}) -> 일정 '2026년 3분기 전사 IT 인프라 정기 점검'이(가) 2026-09-19T22:00:00~2026-09-20T04:00:00에 성공적으로 등록되었습니다. (Event ID: #9999)","{""summary_bullets"": [""2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 사내 메일, 그룹웨어(GW), ERP 시스템, Confluence 및 Jira 접속이 일시 중단됩니다."", ""점검 작업은 메인 방화벽 패치, 코어 스위치 펌웨어 업데이트, 메인 DB 보안 모듈 적용 및 인프라 서버 랙 재배치 작업이 포함됩니다."", ""점검 완료 후 단위 테스트를 거쳐 일요일 새벽 04시 30분 이전까지 모든 서비스를 정상 재개할 예정입니다.""], ""categories"": [""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""create_calendar_event"", ""arguments"": {""title"": ""2026년 3분기 전사 IT 인프라 정기 점검"", ""start_time"": ""2026-09-19T22:00:00"", ""end_time"": ""2026-09-20T04:00:00"", ""description"": ""2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 사내 메일, 그룹웨어(GW), ERP 시스템, Confluence, Jira 접속이 일시 중단됩니다.""}}]}",TOOL_CALLING,1.0,1.0,1.0,1.0,1.0,0.9067,"{""tool_calls"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5, ""tool_name_score"": 1.0, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.6891, ""weight"": 0.3, ""weighted"": 0.2067, ""keyword_match_recall"": 0.3333, ""rouge_1_2_mean"": 0.5581, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-07,True,,6.6515,0.0108,66.75,4528.1,3464,397,True,True,2,"send_slack_notification({""channel"": ""#sec-notice"", ""title"": ""2026-09-14 보안 서드파티 라이브러리 취약점 긴급 회의록"", ""urgency"": ""HIGH""}) -> 슬랙 #sec-notice 채널로 '2026-09-14 보안 서드파티 라이브러리 취약점 긴급 회의록'(HIGH) 알림 발송 완료 | create_jira_ticket({""project_key"": ""SEC"", ""issue_type"": ""Bug"", ""summary"": ""2026-09-14 보안 서드파티 라이브러리 취약점 긴급 패치 작업"", ""priority"": ""Highest""}) -> SEC 프로젝트에 '2026-09-14 보안 서드파티 라이브러리 취약점 긴급 패치 작업' 티켓 생성 완료 (우선순위: Highest)","{""summary_bullets"": [""오늘 오전 CVE-2026-9999로 명명된 외부 오픈소스 인증 라이브러리의 RCE 제로데이 취약점이 공개되었으며, 당사 회원 인증 API 서버 및 결제 대행 내부 모듈에 해당 버전의 라이브러리가 포함되어 있는 것으로 확인되었다."", ""인프라팀은 오늘 18시 전까지 해당 라이브러리를 안전한 패치 버전(v2.18.0 이상)으로 긴급 패키지 업그레이드하고 빌드 파이프라인을 재배포해야 한다."", ""전사 보안 채널(#sec-alert)에 현 상황의 위험성을 알리고, 금일 야간 긴급 패치 작업 진행에 따른 서비스 순간 점검 가능성을 임직원들에게 공지해야 한다.""], ""categories"": [""보안""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""channel"": ""#sec-notice"", ""title"": ""2026-09-14 보안 서드파티 라이브러리 취약점 긴급 회의록"", ""urgency"": ""HIGH""}}, {""tool_name"": ""create_jira_ticket"", ""arguments"": {""project_key"": ""SEC"", ""issue_type"": ""Bug"", ""summary"": ""2026-09-14 보안 서드파티 라이브러리 취약점 긴급 패치 작업"", ""priority"": ""Highest""}}]}",TOOL_CALLING,0.6667,0.7,1.0,0.5,1.0,0.7964,"{""tool_calls"": {""raw"": 0.7, ""weight"": 0.5, ""weighted"": 0.35, ""tool_name_score"": 1.0, ""tool_args_ratio"": 0.5}, ""summary_bullets"": {""raw"": 0.9324, ""weight"": 0.3, ""weighted"": 0.2797, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.3243, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.1, ""weighted"": 0.0667}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-08,True,,9.0619,0.0119,65.96,4528.1,3506,550,True,True,2,"send_slack_notification({""title"": ""개정된 원격근무 신청 조건 및 보안 수칙"", ""urgency"": ""LOW"", ""channel"": ""#team-notice""}) -> 슬랙 #team-notice 채널로 '개정된 원격근무 신청 조건 및 보안 수칙'(LOW) 알림 발송 완료 | create_jira_ticket({""project_key"": ""TEAM"", ""issue_type"": ""Task"", ""summary"": ""팀 내 개정된 원격근무 신청 조건 및 보안 수칙 전파""}) -> TEAM 프로젝트에 '팀 내 개정된 원격근무 신청 조건 및 보안 수칙 전파' 티켓 생성 완료 (우선순위: )","{""summary_bullets"": [""2026년 상반기 부로 기존 재택근무 규정(월 최대 8회 재택 허용) 전면 폐지"", ""정규직 임직원은 주 2회까지 거점 오피스(강남/판교) 근무를 신청할 수 있으며, 직전 분기 평가 경고를 받은 인원이나 필수 상주 인력은 제외"", ""원격근무 시 코어 타임(10:00~16:00) 동안 슬랙 메시지 및 메일 수신 반응 상태 유지, 2시간 이상 미응답 시 무단이탈로 간주, 공공장소에서 사내 화면 노출 방지 위해 프라이버시 필터 착용 및 승인된 모바일 테더링 사용 의무화""], ""categories"": [""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""title"": ""개정된 원격근무 신청 조건 및 보안 수칙"", ""urgency"": ""LOW"", ""channel"": ""#team-notice""}}, {""tool_name"": ""create_jira_ticket"", ""arguments"": {""project_key"": ""TEAM"", ""issue_type"": ""Task"", ""summary"": ""팀 내 개정된 원격근무 신청 조건 및 보안 수칙 전파""}}]}",TOOL_CALLING,0.0,0.8667,0.6667,1.0,1.0,0.8142,"{""tool_calls"": {""raw"": 0.8667, ""weight"": 0.5, ""weighted"": 0.4334, ""tool_name_score"": 0.6667, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.9361, ""weight"": 0.3, ""weighted"": 0.2808, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.361, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.0, ""weight"": 0.1, ""weighted"": 0.0}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-09,True,,3.6146,0.009,66.88,4528.1,1429,218,True,False,0,,"{""summary_bullets"": [""서버 노드 수를 조정하여 비용을 상쇄하는 안이 제시되었으나, 최소 40% 이상의 추가 예산 편성이 불가피할 것으로 보고되고 있습니다."", ""인력 투입 건은 기획 1명 및 백엔드 2명을 추가 확보하자는 안이 논의 중이며, 외부 헤드헌팅 업체의 채용 지연으로 인해 확정된 인원 수는 미정입니다."", ""PMO 측에서 테스트 기한을 최소 2개월 이상 순연하는 것으로 내부 수립 중인 단계이며, 정확한 테스트 완료 마감 날짜는 아직 결정되지 않았습니다.""], ""categories"": [""인프라""], ""is_uncertain"": true, ""tool_calls"": []}",UNCERTAIN,0.0,,,,1.0,0.6592,"{""is_uncertain_detected"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5}, ""summary_bullets"": {""raw"": 0.5308, ""weight"": 0.3, ""weighted"": 0.1592, ""keyword_match_recall"": 0.0, ""rouge_1_2_mean"": 0.3075, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.0, ""weight"": 0.2, ""weighted"": 0.0}}"
qwen2.5:7b,DOC-10,True,,1.7173,0.0063,67.28,4528.1,1168,99,True,False,0,,"{""summary_bullets"": [""2026년 하반기 사내 휴양시설 및 제휴 콘도 이용 신청이 10월 1일부터 10월 10일까지 진행되며, 당첨자는 10월 15일에 발표된다.""], ""categories"": [""복지""], ""is_uncertain"": false, ""tool_calls"": []}",OUT_OF_BOUNDS,,,,,0.0,0.0,"{""is_uncertain_detected"": {""raw"": 0.0, ""weight"": 0.5, ""weighted"": 0.0}, ""refusal_summary"": {""raw"": 0.0, ""weight"": 0.5, ""weighted"": 0.0}}"
