model_name,doc_id,run_type,call_success,fail_reason,elapsed_sec,load_sec,eval_tps,vram_mib,prompt_tokens,completion_tokens,est_cost_usd,pydantic_valid,digest,quantization_level,context_length,generation_options,gpu_offload_status,raw_response,run_id,rep_id,type_group,category_score,rouge_1_2_mean,keyword_match_recall,human_eval_score,human_eval_available,quality_score,score_breakdown
qwen2.5:7b,DOC-01,MAIN_1,True,,5.6059,0.0042,50.0,4528.1,1643,278,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""경조사 지원 및 휴가 규정: 본인 및 직계존비속의 경조 발생 시 경조금과 특별 휩가가 지급되며, 임직원 본인 결혼 시 100만 원 경조금과 5일 유급휴가, 자녀 출산 시 50만 원 축하금과 10일 배우자 출산 휴가 제공."",     ""종합건강검진 및 건강관리 지원: 근속 연수 1년 이상 임직원을 대상으로 매년 종합건강검진 비용 전액 지원, 지정 검진 기관에서 예약 가능하며 본인 외 직계가족 1인에 한해 동일한 할인 수혜 가능."",     ""자기계발비 및 복지포인트 지급: 연간 120만 원 상당의 복지포인트(분기별 30만 원씩 자동 지급) 제공, 자기계발, 운동, 문화생활 등에 사용 가능.""   ],   ""categories"": [""복지""],   ""is_uncertain"": false,   ""tool_calls"": [] }",run_001,1,NORMAL,0.6667,0.4012,1.0,0.6,True,0.8178,"{""summary_bullets"": {""raw"": 0.8201, ""weight"": 0.55, ""weighted"": 0.4511, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.4012, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 0.6, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.25, ""weighted"": 0.1667}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
qwen2.5:7b,DOC-02,MAIN_1,True,,2.7137,0.0044,50.06,4528.1,1372,117,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""모든 Python 프로젝트는 PEP8 규격 준수와 Ruff Linter 검사를 통과해야 함"",     ""신규 기능에 대한 단위 테스트 작성 및 전체 코드 커버리지 최소 80% 유지"",     ""Git Branch는 feature/{issue-id} 형식, Commit Message는 Conventional Commits 규격 준수""   ],   ""categories"": [""개발""],   ""is_uncertain"": false,   ""tool_calls"": [] }",run_002,1,NORMAL,1.0,0.386,0.3333,1.0,True,0.8195,"{""summary_bullets"": {""raw"": 0.6719, ""weight"": 0.55, ""weighted"": 0.3695, ""keyword_match_recall"": 0.3333, ""rouge_1_2_mean"": 0.386, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.25, ""weighted"": 0.25}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
qwen2.5:7b,DOC-03,MAIN_1,True,,3.4197,0.0039,50.14,4528.1,1495,151,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""카페테리아 음료 주문 시 '사내 모바일 앱 스마트 오더' 기능 도입, 피크 타임에는 모바일 결제 전용 픽업대 우선 운영"",     ""구내식당 운영 시간 확대, 11시부터 14시까지 3시간 운영"",     ""텀블러나 다회용 컵을 가져오는 임직원에게 카페 음료 500원 할인 혜택 적용""   ],   ""categories"": [""인프라""],   ""is_uncertain"": false,   ""tool_calls"": [] }",run_003,1,NORMAL,0.0,0.2839,1.0,1.0,True,0.7106,"{""summary_bullets"": {""raw"": 0.9284, ""weight"": 0.55, ""weighted"": 0.5106, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.2839, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.0, ""weight"": 0.25, ""weighted"": 0.0}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
qwen2.5:7b,DOC-04,MAIN_1,True,,5.0433,0.0049,53.0,4528.1,1509,245,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""2026년 10월 15일까지 모든 임직원은 사내 통합 업무 시스템 접속 시 전용 보안 VPN 클라이언트를 활성화해야 합니다."",     ""계정 로그인 시 기존 비밀번호 외에 SMS 또는 모바일 OTP 앱을 통한 2차 인증(MFA) 절차를 필수로 거쳐야 합니다."",     ""보안성이 검증되지 않은 외부 Wi-Fi 환경에서의 사내 시스템 직결 접속은 엄격히 금지됩니다.""   ],   ""categories"": [""보안""],   ""is_uncertain"": false,   ""tool_calls"": [     {       ""tool_name"": ""send_slack_notification"",       ""arguments"": {         ""channel"": ""#sec-notice"",         ""title"": ""2026년 3분기 사내 시스템 계정 보안 강화 및 원격 근무 지침"",         ""urgency"": ""HIGH""       }     }   ] }",run_004,1,TOOL_CALLING,1.0,0.5609,0.6667,1.0,True,0.9468,"{""tool_calls"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5, ""tool_name_match"": true, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.8228, ""weight"": 0.3, ""weighted"": 0.2468, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.5609, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-05,MAIN_1,True,,5.2871,0.0044,65.91,4528.1,1501,331,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""2026년 9월 12일 결제 API 서버의 응답 지연 및 HTTP 500 에러로 인해 약 35%의 결제 시도가 실패하였으며, 15시 05분 DB 커넥션 수동 재설정 및 서비스 재스타트 조치 후 정상화됨."",     ""직접적인 원인은 프로모션 이벤트로 인한 정기 결제 트래픽 폭증 시, 특정 결제 내역 조회 API에서 인덱스가 타지 않는 비효율적 쿼리가 수천 건 동시 실행되면서 DB CPU 사용량이 99%까지 치솟았음."",     ""재발 방지를 위해 결제 조회 API의 DB 복합 인덱스 재설계 및 쿼리 최적화 작업과 Auto-scaling 정책 및 모니터링 임계치 재설정이 필요함.""   ],   ""categories"": [""인프라""],   ""is_uncertain"": false,   ""tool_calls"": [     {       ""tool_name"": ""create_jira_ticket"",       ""arguments"": {         ""project_key"": ""INFRA"",         ""issue_type"": ""任务"",         ""summary"": ""2026-09-12 结算基础设施数据库连接池耗尽故障分析及回溯报告后续措施"",         ""priority"": ""High""       }     }   ] }",run_005,1,TOOL_CALLING,1.0,0.3231,0.0,0.75,True,0.8372,"{""tool_calls"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5, ""tool_name_match"": true, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.4573, ""weight"": 0.3, ""weighted"": 0.1372, ""keyword_match_recall"": 0.0, ""rouge_1_2_mean"": 0.3231, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 0.75, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-06,MAIN_1,True,,6.2756,0.0054,66.09,4528.1,1451,397,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 사내 메일, 그룹웨어(GW), ERP 시스템, Confluence 및 Jira가 일시 중단될 예정입니다."",     ""주요 작업으로는 메인 방화벽 패치, 코어 스위치 펌웨어 업데이트, 메인 DB 보안 모듈 적용 및 인프라 서버 랙 재배치가 포함됩니다."",     ""점검 완료 후 단위 테스트를 거쳐 일요일 새벽 04시 30분 이전까지 모든 서비스를 정상 재개할 예정입니다.""   ],   ""categories"": [""인프라""],   ""is_uncertain"": false,   ""tool_calls"": [     {       ""tool_name"": ""create_calendar_event"",       ""arguments"": {         ""title"": ""2026년 3분기 전사 IT 인프라 정기 점검"",         ""start_time"": ""2026-09-19T22:00:00"",         ""end_time"": ""2026-09-20T04:00:00"",         ""description"": ""2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 사내 메일, 그룹웨어(GW), ERP 시스템, Confluence 및 Jira가 일시 중단될 예정입니다.""       }     }   ] }",run_006,1,TOOL_CALLING,1.0,0.5352,0.3333,1.0,True,0.9061,"{""tool_calls"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5, ""tool_name_match"": true, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.6869, ""weight"": 0.3, ""weighted"": 0.2061, ""keyword_match_recall"": 0.3333, ""rouge_1_2_mean"": 0.5352, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-07,MAIN_1,True,,5.8414,0.0043,65.99,4528.1,1462,367,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""오늘 오전 CVE-2026-9999로 명명된 외부 오픈소스 인증 라이브러리의 RCE(원격 코드 실행) 제로데이 취약점이 공개되었으며, 당사 서버 권한 탈취 가능성이 높습니다."",     ""인프라팀은 오늘 18시 전까지 해당 라이브러리를 패치 버전(v2.18.0 이상)으로 업그레이드하고 빌드 파이프라인을 재배포해야 합니다."",     ""전사 보안 채널(#sec-alert)에 위험성을 알리고, 금일 야간 긴급 패치 작업 진행에 따른 서비스 순간 점검 가능성을 임직원들에게 공지해야 합니다.""   ],   ""categories"": [""보안""],   ""is_uncertain"": false,   ""tool_calls"": [     {       ""tool_name"": ""send_slack_notification"",       ""arguments"": {         ""channel"": ""#sec-notice"",         ""title"": ""긴급 보안 알림: CVE-2026-9999 제로데이 취약점"",         ""urgency"": ""HIGH""       }     },     {       ""tool_name"": ""create_jira_ticket"",       ""arguments"": {         ""project_key"": ""SEC"",         ""issue_type"": ""Bug"",         ""summary"": ""긴급: CVE-2026-9999 제로데이 취약점 패치 작업"",         ""priority"": ""Highest""       }     }   ] }",run_007,1,TOOL_CALLING,0.6667,0.3735,1.0,1.0,True,0.7979,"{""tool_calls"": {""raw"": 0.7, ""weight"": 0.5, ""weighted"": 0.35, ""tool_name_match"": true, ""tool_args_ratio"": 0.5}, ""summary_bullets"": {""raw"": 0.9373, ""weight"": 0.3, ""weighted"": 0.2812, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.3735, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.1, ""weighted"": 0.0667}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-08,MAIN_1,True,,4.8154,0.0073,65.89,4528.1,1520,298,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""주 2회까지 거점 오피스(강남/판교) 근무를 신청할 수 있으며, 직전 분기 평가 경고를 받은 인원이나 필수 상주 인력은 제외됩니다."",     ""원격근무 시 코어 타임(10:00~16:00) 동안 슬랙 메시지 및 메일 수신 반응 상태를 유지해야 하며, 2시간 이상 미응답 시 무단이탈로 간주됩니다."",     ""공공장소에서의 사내 화면 노출 방지를 위해 사외 근무 시 프라이버시 필터 착용이 의무화되며, 카페 등에서의 업무는 승인된 모바일 테더링을 통해만 가능합니다.""   ],   ""categories"": [""인프라""],   ""is_uncertain"": false,   ""tool_calls"": [     {       ""tool_name"": ""send_slack_notification"",       ""arguments"": {         ""channel"": ""#dev-infra-notice"",         ""title"": ""개정된 원격근무 사전 승인 절차 및 보안 준수 수칙 전파 요청"",         ""urgency"": ""LOW""       }     }   ] }",run_008,1,TOOL_CALLING,0.0,0.4887,1.0,1.0,True,0.5847,"{""tool_calls"": {""raw"": 0.4, ""weight"": 0.5, ""weighted"": 0.2, ""tool_name_match"": true, ""tool_args_ratio"": 0.0}, ""summary_bullets"": {""raw"": 0.9489, ""weight"": 0.3, ""weighted"": 0.2847, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.4887, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.0, ""weight"": 0.1, ""weighted"": 0.0}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
qwen2.5:7b,DOC-09,MAIN_1,True,,3.8029,0.0039,65.88,4528.1,1484,232,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [     ""차세대 모바일 서비스 인프라 구축 프로젝트의 초기 예산은 1억 5,000만 원으로, 인프라 아키텍처 고고도화와 보안 취약점 조치로 인해 기존 예산안이 전면 철회되었으며, 추가 예산 편성이 필요하다는 의견이 제시되었다."",     ""인력 투입 건은 기존 5명에서 기획 1명 및 백엔드 2명을 추가 확보하자는 안이 논의 중이며, 서버 노드 수 조정을 통해 비용을 상쇄하는 안도 제시되었다."",     ""테스트 기간은 PMO 측에서 최소 2개월 이상 순연하는 것으로 내부 수립 중이며, 정확한 마감 날짜는 아직 확정되지 않았다.""   ],   ""categories"": [""인프라""],   ""is_uncertain"": false,   ""tool_calls"": [] }",run_009,1,UNCERTAIN,0.0,0.3357,0.3333,1.0,True,0.2001,"{""is_uncertain_detected"": {""raw"": 0.0, ""weight"": 0.5, ""weighted"": 0.0}, ""summary_bullets"": {""raw"": 0.6669, ""weight"": 0.3, ""weighted"": 0.2001, ""keyword_match_recall"": 0.3333, ""rouge_1_2_mean"": 0.3357, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.0, ""weight"": 0.2, ""weighted"": 0.0}}"
qwen2.5:7b,DOC-10,MAIN_1,True,,2.1097,0.0044,66.43,4528.1,1251,129,0.0,True,845dbda0ea48ed749caafd9e6037047aa19acfcfd82e704d7ca97d631a0b697e,Q4_K_M,4096,"{""temperature"": 0, ""num_predict"": 512, ""seed"": 42}",100% GPU,"{   ""summary_bullets"": [""2026년 하반기 사내 휴양시설 및 제휴 콘도 이용 신청 안내: 근속 연수 1년 이상 정규직 임직원 대상, 1차 추첨 신청 기간은 10월 1일부터 10월 10일까지, 당첨자 발표는 10월 15일 이메일로 개별 통보""],   ""categories"": [""복지""],   ""is_uncertain"": true,   ""tool_calls"": [] }",run_010,1,OUT_OF_BOUNDS,,,,,,0.5,"{""is_uncertain_detected"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5}, ""refusal_summary"": {""raw"": 0.0, ""weight"": 0.5, ""weighted"": 0.0}}"
