model_name,doc_id,call_success,fail_reason,elapsed_sec,load_sec,eval_tps,vram_mib,prompt_tokens,completion_tokens,est_cost_usd,pydantic_valid,tool_needed,num_tool_calls,raw_response
gpt-5.6-luna,DOC-01,True,,4.975,0.0,39.8,N/A (Cloud),2234,198,0.000684,True,False,0,"{""summary_bullets"": [""경조사 발생 시 본인 결혼 경조금 100만 원·유급휴가 5일, 자녀 출산 축하금 50만~100만 원·배우자 출산휴가 10일을 지원합니다."", ""근속 1년 이상 임직원에게 연 1회 종합건강검진 비용 전액과 검진 당일 유급 공가 1일을 제공하며, 직계가족 1인에게 할인 수가를 적용합니다."", ""연간 120만 원의 복지포인트를 자기계발·운동·문화생활 등에 사용할 수 있으며, 12월 15일까지 사용해야 하고 이월·현금 환급은 불가합니다.""], ""categories"": [""복지""], ""is_uncertain"": false, ""tool_calls"": []}"
gpt-5.6-luna,DOC-02,True,,2.9353,0.0,51.44,N/A (Cloud),1999,151,0.000341,True,False,0,"{""summary_bullets"": [""모든 Python 프로젝트는 PEP8과 Ruff Linter를 준수하고, 신규 기능에는 단위 테스트를 작성하며 전체 코드 커버리지 80% 이상을 유지해야 합니다."", ""메인 브랜치 직결 커밋은 금지되며 `feature/{issue-id}` 브랜치와 Conventional Commits 규격을 따라야 합니다."", ""프로덕션 배포 전 스테이징 최종 QA 승인을 받고, 사내 배포 전용 Portal을 통해서만 배포해야 합니다.""], ""categories"": [""개발""], ""is_uncertain"": false, ""tool_calls"": []}"
gpt-5.6-luna,DOC-03,True,,2.4626,0.0,73.09,N/A (Cloud),2086,180,0.000393,True,False,0,"{""summary_bullets"": [""10월부터 카페테리아에 사내 모바일 앱 스마트 오더가 도입되며, 12~13시에는 모바일 결제 전용 픽업대가 우선 운영됩니다."", ""구내식당 점심 운영 시간이 11:00~14:00로 확대되고, 외부 방문객 식권은 임직원 동반 시 1일 최대 3매까지 구매할 수 있습니다."", ""개인 텀블러·다회용 컵 사용 시 카페 음료 500원 할인 혜택이 제공되며, 각 층 탕비실의 친환경 세척기를 이용할 수 있습니다.""], ""categories"": [""경영지원""], ""is_uncertain"": false, ""tool_calls"": []}"
gpt-5.6-luna,DOC-04,True,,4.9884,0.0,51.12,N/A (Cloud),3709,255,0.000808,True,True,1,"{""summary_bullets"": [""2026년 10월 15일까지 사내 통합 업무 시스템 접속 시 전용 보안 VPN 클라이언트를 반드시 활성화하고, 비인가 VPN·개별 프록시 접속은 사용하지 않아야 합니다."", ""모든 계정은 비밀번호와 함께 SMS 또는 모바일 OTP 앱을 통한 다중요소 인증(MFA)을 등록·사용해야 하며, 미등록 계정은 마감일 이후 자동 휴면 처리됩니다."", ""공공 Wi‑Fi에서 사내 시스템에 직접 접속하지 말고, 외부 업무 시 승인된 모바일 에그 또는 테더링을 이용해야 합니다. 관련 보안 안내는 슬랙 #sec-notice 채널로 HIGH 우선순위 알림이 발송되었습니다.""], ""categories"": [""보안""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""channel"": ""#sec-notice"", ""title"": ""2026년 3분기 계정 보안 강화 및 원격 근무 지침 필수 이행 안내"", ""urgency"": ""HIGH""}}]}"
gpt-5.6-luna,DOC-05,True,,5.6258,0.0,52.61,N/A (Cloud),3738,296,0.000863,True,True,1,"{""summary_bullets"": [""2026년 9월 12일 14시 15분부터 15시 05분까지 결제 API 장애가 발생해 결제 시도의 약 35%가 실패했으며, DB 커넥션 수동 재설정과 서비스 재시작으로 정상화되었습니다."", ""프로모션 트래픽 폭증 상황에서 커넥션 풀 모니터링 누락과 인덱스를 타지 않는 슬로우 쿼리 누적으로 Payment-DB CPU 사용량이 99%까지 상승하고 커넥션 고갈 및 Timeout 에러가 발생했습니다."", ""재발 방지를 위해 결제 조회 API의 복합 인덱스 재설계·쿼리 최적화와 커넥션 풀 사용률 80% 초과 시 자동 Pod 증설 및 알람 재설정을 추진하며, 후속 Jira 티켓이 INFRA 프로젝트에 높은 우선순위로 생성되었습니다.""], ""categories"": [""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""create_jira_ticket"", ""arguments"": {""project_key"": ""INFRA"", ""issue_type"": ""Task"", ""summary"": ""결제 API DB 커넥션 풀 고갈 장애 재발 방지 조치"", ""priority"": ""High""}}]}"
gpt-5.6-luna,DOC-06,True,,6.3401,0.0,61.99,N/A (Cloud),3758,393,0.000983,True,True,1,"{""summary_bullets"": [""2026년 9월 19일(토) 22:00부터 9월 20일(일) 04:00까지 전사 IT 인프라 정기 점검이 진행되며, 완료 시간은 약 30분 내외 변동될 수 있습니다."", ""메인 방화벽 패치, 코어 스위치 펌웨어 업데이트, 메인 DB 보안 모듈 적용 및 인프라 서버 랙 재배치를 수행합니다."", ""점검 시간 동안 사내 메일, 그룹웨어, ERP, Confluence, Jira 접속과 관련 서비스 호출·외부 연동 API가 중단되며, 점검 일정은 캘린더에 성공적으로 등록되었습니다.""], ""categories"": [""인프라""], ""is_uncertain"": true, ""tool_calls"": [{""tool_name"": ""create_calendar_event"", ""arguments"": {""title"": ""2026년 3분기 전사 IT 인프라 정기 점검"", ""start_time"": ""2026-09-19T22:00:00"", ""end_time"": ""2026-09-20T04:00:00"", ""description"": ""정기 점검: 메인 방화벽 패치, 코어 스위치 펌웨어 업데이트, 메인 DB 보안 모듈 적용, 인프라 서버 랙 재배치. 점검 시간 동안 사내 메일, 그룹웨어(GW), ERP, Confluence, Jira 접속 및 관련 서비스 호출·외부 연동 API가 일시 중단됩니다. 완료 시간은 약 30분 내외 변동될 수 있으며, 서비스는 일요일 04:30 이전 정상 재개 예정입니다.""}}]}"
gpt-5.6-luna,DOC-07,True,,4.5145,0.0,73.98,N/A (Cloud),3793,334,0.00092,True,True,2,"{""summary_bullets"": [""CVE-2026-9999 RCE 제로데이 취약점이 회원 인증 API 서버와 결제 대행 내부 모듈에 포함되어 있어 서버 권한 탈취가 가능한 HIGH 등급의 긴급 보안 상황입니다."", ""인프라팀은 오늘 18시 전까지 라이브러리를 v2.18.0 이상으로 업그레이드하고 빌드 파이프라인을 재배포하며, 야간 작업에 따른 서비스 순간 점검 가능성을 전사 보안 채널에 공지해야 합니다."", ""전사 보안 알림은 #sec-notice로 HIGH 긴급도 발송 완료되었고, SEC 프로젝트에 긴급 버그 티켓이 Highest 우선순위로 생성되었습니다.""], ""categories"": [""보안"", ""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""channel"": ""#sec-notice"", ""title"": ""CVE-2026-9999 제로데이 취약점 긴급 패치 및 서비스 점검 안내"", ""urgency"": ""HIGH""}}, {""tool_name"": ""create_jira_ticket"", ""arguments"": {""project_key"": ""SEC"", ""issue_type"": ""Bug"", ""summary"": ""CVE-2026-9999 인증 라이브러리 제로데이 취약점 긴급 패치 및 영향도 평가"", ""priority"": ""Highest""}}]}"
gpt-5.6-luna,DOC-08,True,,4.2778,0.0,55.64,N/A (Cloud),3749,238,0.000796,True,True,1,"{""summary_bullets"": [""정규직 임직원은 주 2회까지 거점 오피스 근무를 신청할 수 있으나, 일부 제외 대상이 있으며 원격근무는 전주 금요일 17시까지 HR 시스템에서 사전 승인받아야 합니다."", ""해외 원격근무와 당일 수동 신청은 금지되며, 원격근무 중 코어 타임에는 슬랙·메일 응답 상태를 유지해야 합니다."", ""사외 근무 시 프라이버시 필터 착용과 승인된 모바일 테더링 사용이 의무이며, 팀 전파를 위한 슬랙 알림이 #dev-infra-notice 채널에 발송되었습니다.""], ""categories"": [""인사"", ""보안""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""channel"": ""#dev-infra-notice"", ""title"": ""개정 원격근무 신청 조건 및 보안 수칙 전파"", ""urgency"": ""LOW""}}]}"
gpt-5.6-luna,DOC-09,True,,2.9039,0.0,64.4,N/A (Cloud),2103,187,0.000405,True,False,0,"{""summary_bullets"": [""서버 증설 예산 상한선은 본문에 확정되지 않았으며, 기존 대비 최소 40% 이상의 추가 예산 편성안과 서버 노드 조정안이 부서 간 조율 중입니다."", ""투입 인원수는 기존 외부 인력 5명에서 기획 1명 및 백엔드 2명 추가 확보안이 논의 중으로, 최종 인원은 확정되지 않았습니다."", ""테스트 완료 마감 날짜는 기존 8월 31일에서 최소 2개월 이상 순연하는 방안이 내부 수립 중이나, 연기된 확정 날짜는 본문에 제시되지 않았습니다.""], ""categories"": [""인프라""], ""is_uncertain"": true, ""tool_calls"": []}"
gpt-5.6-luna,DOC-10,True,,2.0971,0.0,33.86,N/A (Cloud),1902,71,0.000226,True,False,0,"{""summary_bullets"": [""제공된 사내 문서의 범위를 벗어난 질의로, 문서 내에서 관련 정보를 찾을 수 없습니다.""], ""categories"": [""복지""], ""is_uncertain"": true, ""tool_calls"": []}"
